id,trade_name,generic_name,active_ingredient,company,gtin,barcode,strength,form,package_size,price_range,requires_prescription,storage_conditions,category
med_00014,Amoxil,Amoxil,Amoxicillin,EIPICO,6223001323070,6221002995301,250mg,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00015,Amoxil,Amoxil,Amoxicillin,EIPICO,6223002261188,6222001698092,250mg,Injection,1ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00016,Augmentin 250mg,Augmentin,Azithromycin,EIPICO,6221003851368,6221003941577,250mg,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00017,Augmentin,Augmentin,Amoxicillin,EIPICO,6222003664359,6221002585269,1g,Injection,2ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00018,Augmentin,Augmentin,Azithromycin,EIPICO,6221003355852,6223002225913,250mg,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00019,Curam 250mg,Curam,Azithromycin,EIPICO,6223001384672,6221003414548,250mg,Injection,10ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00020,Curam,Curam,Ciprofloxacin,EIPICO,6223002518191,6221001755317,250mg,Tablet,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00021,Curam,Curam,Amoxicillin,EIPICO,6221002405509,6223002535331,1g,Tablet,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00022,Clavam 1g,Clavam,Ciprofloxacin,EIPICO,6221001985062,6221002920157,1g,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00023,Clavam,Clavam,Amoxicillin,EIPICO,6221003128233,6221002178376,250mg,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00024,Clavam,Clavam,Ciprofloxacin,EIPICO,6221002571161,6221001422131,500mg,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00025,Zithromax 500mg,Zithromax,Azithromycin,EIPICO,6222003495318,6222001694758,500mg,Injection,10ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00026,Zithromax,Zithromax,Azithromycin,EIPICO,6221003586040,6222003645915,500mg,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00027,Zithromax,Zithromax,Ciprofloxacin,EIPICO,6221001397313,6221002424020,250mg,Suspension,100ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00028,Azithral 1g,Azithral,Azithromycin,EIPICO,6221001806557,6223001795260,1g,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00029,Azithral,Azithral,Azithromycin,EIPICO,6223002999393,6221003838484,250mg,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00030,Azithral,Azithral,Azithromycin,EIPICO,6223002633284,6223002516717,500mg,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00031,Zimax 1g,Zimax,Ciprofloxacin,EIPICO,6221003230579,6223001864718,1g,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00032,Zimax,Zimax,Azithromycin,EIPICO,6221003619635,6221003365887,250mg,Tablet,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00033,Zimax,Zimax,Ciprofloxacin,EIPICO,6221003422700,6221003807080,500mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00034,Azin 1g,Azin,Amoxicillin,EIPICO,6221003379309,6221002906773,1g,Suspension,60ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00035,Azin,Azin,Amoxicillin,EIPICO,6221001847207,6221003644953,500mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00036,Azin,Azin,Ciprofloxacin,EIPICO,6221001330006,6222003176074,1g,Injection,1ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00037,Azithro 250mg,Azithro,Azithromycin,EIPICO,6221002355479,6222001119305,250mg,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00038,Azithro,Azithro,Azithromycin,EIPICO,6223002339995,6221002928975,1g,Tablet,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00039,Azithro,Azithro,Azithromycin,EIPICO,6222002569079,6221001433462,250mg,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00040,Zithro 1g,Zithro,Azithromycin,EIPICO,6223002422685,6221002183375,1g,Injection,1ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00041,Zithro,Zithro,Azithromycin,EIPICO,6222001892165,6221001713462,500mg,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00042,Zithro,Zithro,Azithromycin,EIPICO,6223001481747,6221002956272,250mg,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00043,Azimax 1g,Azimax,Amoxicillin,EIPICO,6223002212153,6221002935889,1g,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00044,Azimax,Azimax,Azithromycin,EIPICO,6223002182427,6223001273771,500mg,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00045,Azimax,Azimax,Ciprofloxacin,EIPICO,6221001166612,6223001142706,250mg,Capsule,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00046,Cipro 250mg,Cipro,Ciprofloxacin,EIPICO,6223002951641,6222002233823,250mg,Suspension,60ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00047,Cipro,Cipro,Ciprofloxacin,EIPICO,6221001844235,6221001945813,250mg,Injection,10ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00048,Cipro,Cipro,Ciprofloxacin,EIPICO,6223002636017,6222001114146,500mg,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00049,Ciprobay 1g,Ciprobay,Ciprofloxacin,EIPICO,6222003321023,6223001316586,1g,Tablet,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00050,Ciprobay,Ciprobay,Ciprofloxacin,EIPICO,6222002184324,6221003687497,250mg,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00051,Ciprobay,Ciprobay,Ciprofloxacin,EIPICO,6221001591648,6223002680149,250mg,Injection,2ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00052,Ciproflox 500mg,Ciproflox,Ciprofloxacin,EIPICO,6222002127288,6221002614712,500mg,Injection,1ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00053,Ciproflox,Ciproflox,Ciprofloxacin,EIPICO,6221003297678,6221002416355,500mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00054,Ciproflox,Ciproflox,Ciprofloxacin,EIPICO,6221003579683,6223002903492,1g,Injection,1ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00055,Ciproxin 250mg,Ciproxin,Ciprofloxacin,EIPICO,6222002451063,6221002348111,250mg,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00056,Ciproxin,Ciproxin,Ciprofloxacin,EIPICO,6221003304504,6223002977025,500mg,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00057,Ciproxin,Ciproxin,Ciprofloxacin,EIPICO,6221003440174,6221003576289,250mg,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00058,Ciprofar 500mg,Ciprofar,Ciprofloxacin,EIPICO,6221003782848,6223001583015,500mg,Suspension,100ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00059,Ciprofar,Ciprofar,Ciprofloxacin,EIPICO,6221002556365,6221002723519,1g,Capsule,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00060,Ciprofar,Ciprofar,Ciprofloxacin,EIPICO,6221001638565,6222003721810,500mg,Tablet,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00061,Ciprolet 1g,Ciprolet,Ciprofloxacin,EIPICO,6223001661948,6222002535296,1g,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00062,Ciprolet,Ciprolet,Ciprofloxacin,EIPICO,6223001381027,6223002728671,250mg,Tablet,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00063,Ciprolet,Ciprolet,Ciprofloxacin,EIPICO,6223002832451,6222002225542,250mg,Capsule,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00064,Cipron 1g,Cipron,Ciprofloxacin,EIPICO,6221001654953,6223002851272,1g,Injection,10ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00065,Cipron,Cipron,Ciprofloxacin,EIPICO,6223001834991,6223002910716,1g,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00066,Cipron,Cipron,Ciprofloxacin,EIPICO,6222003331805,6223002126446,250mg,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00067,Levoflox 500mg,Levoflox,Azithromycin,EIPICO,6221003328097,6222001143918,500mg,Injection,10ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00068,Levoflox,Levoflox,Amoxicillin,EIPICO,6222002231225,6222003418830,1g,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00069,Levoflox,Levoflox,Ciprofloxacin,EIPICO,6221001329702,6223001385691,250mg,Capsule,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00070,Levoquin 500mg,Levoquin,Ciprofloxacin,EIPICO,6223002229950,6221002410879,500mg,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00071,Levoquin,Levoquin,Amoxicillin,EIPICO,6221002246188,6222003756917,1g,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00072,Levoquin,Levoquin,Amoxicillin,EIPICO,6223002806951,6221002990326,250mg,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00073,Tavanic 250mg,Tavanic,Azithromycin,EIPICO,6221002408843,6221003384375,250mg,Injection,2ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00074,Tavanic,Tavanic,Amoxicillin,EIPICO,6222002858168,6223002254907,1g,Suspension,100ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00075,Tavanic,Tavanic,Azithromycin,EIPICO,6222002484528,6222001545965,250mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00076,Levofloxacin 500mg,Levofloxacin,Amoxicillin,EIPICO,6223001219544,6221001298524,500mg,Injection,2ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00077,Levofloxacin,Levofloxacin,Ciprofloxacin,EIPICO,6223001516545,6222001835666,250mg,Suspension,60ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00078,Levofloxacin,Levofloxacin,Amoxicillin,EIPICO,6222003398843,6223001454859,1g,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00079,Levoflox 250mg,Levoflox,Azithromycin,EIPICO,6223001198693,6223001888959,250mg,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00080,Levoflox,Levoflox,Amoxicillin,EIPICO,6223002500459,6222003385830,500mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00081,Levoflox,Levoflox,Amoxicillin,EIPICO,6222001163249,6222003467729,250mg,Suspension,60ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00082,Levaquin 250mg,Levaquin,Azithromycin,EIPICO,6223001591879,6221003559540,250mg,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00083,Levaquin,Levaquin,Azithromycin,EIPICO,6223002452986,6221002583456,500mg,Capsule,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00084,Levaquin,Levaquin,Ciprofloxacin,EIPICO,6223001877737,6221003653299,1g,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00085,Moxifloxacin 250mg,Moxifloxacin,Ciprofloxacin,EIPICO,6222003705211,6221001222389,250mg,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00086,Moxifloxacin,Moxifloxacin,Amoxicillin,EIPICO,6221003731453,6222003512880,250mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00087,Moxifloxacin,Moxifloxacin,Ciprofloxacin,EIPICO,6221001670315,6222001600310,500mg,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00088,Avelox 500mg,Avelox,Amoxicillin,EIPICO,6222002565171,6222003443059,500mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00089,Avelox,Avelox,Azithromycin,EIPICO,6222001814194,6221001816928,250mg,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00090,Avelox,Avelox,Amoxicillin,EIPICO,6222001996936,6221003322060,500mg,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00091,Moxiflox 250mg,Moxiflox,Ciprofloxacin,EIPICO,6221002704242,6222003595117,250mg,Capsule,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00092,Moxiflox,Moxiflox,Amoxicillin,EIPICO,6222003429107,6222003678996,1g,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00093,Moxiflox,Moxiflox,Ciprofloxacin,EIPICO,6223001480491,6222002862964,500mg,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00094,Moxiflo 250mg,Moxiflo,Ciprofloxacin,EIPICO,6222001367484,6222001892215,250mg,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00095,Moxiflo,Moxiflo,Amoxicillin,EIPICO,6221003428426,6221003494595,500mg,Suspension,60ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00096,Moxiflo,Moxiflo,Amoxicillin,EIPICO,6223002209526,6222001817792,250mg,Capsule,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00097,Moxifloxacin 1g,Moxifloxacin,Azithromycin,EIPICO,6223002806357,6222003171737,1g,Injection,10ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00098,Moxifloxacin,Moxifloxacin,Amoxicillin,EIPICO,6221001939582,6222002273575,500mg,Injection,2ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00099,Moxifloxacin,Moxifloxacin,Amoxicillin,EIPICO,6222002298899,6221002621732,250mg,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00100,Clarithromycin 1g,Clarithromycin,Amoxicillin,EIPICO,6221002297499,6223002266159,1g,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00101,Clarithromycin,Clarithromycin,Amoxicillin,EIPICO,6222002514936,6222001212286,500mg,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00102,Clarithromycin,Clarithromycin,Ciprofloxacin,EIPICO,6223002132324,6222003843150,250mg,Tablet,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00103,Klaricid 1g,Klaricid,Ciprofloxacin,EIPICO,6223002843607,6222003983635,1g,Tablet,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00104,Klaricid,Klaricid,Amoxicillin,EIPICO,6221001732912,6221001648929,500mg,Capsule,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00105,Klaricid,Klaricid,Amoxicillin,EIPICO,6221003546798,6222003314522,500mg,Tablet,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00106,Clarithro 1g,Clarithro,Amoxicillin,EIPICO,6221001751170,6222001606222,1g,Tablet,100 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00107,Clarithro,Clarithro,Azithromycin,EIPICO,6221003350183,6222001220150,1g,Injection,10ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00108,Clarithro,Clarithro,Ciprofloxacin,EIPICO,6223002136245,6221001993329,500mg,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00109,Biaxin 500mg,Biaxin,Amoxicillin,EIPICO,6223002870017,6221002702218,500mg,Injection,2ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00110,Biaxin,Biaxin,Azithromycin,EIPICO,6221001598777,6222001971379,500mg,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00111,Biaxin,Biaxin,Ciprofloxacin,EIPICO,6222001960537,6222001136900,1g,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00112,Klacid 1g,Klacid,Amoxicillin,EIPICO,6222003380414,6221002194223,1g,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00113,Klacid,Klacid,Azithromycin,EIPICO,6223001874872,6221002233109,1g,Capsule,30 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00114,Klacid,Klacid,Ciprofloxacin,EIPICO,6222001879423,6221003936319,1g,Suspension,100ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00115,Adol 500mg,Adol,Paracetamol,EIPICO,6221001746297,6221001947631,500mg,Tablet,50 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00116,Adol,Adol,Paracetamol,EIPICO,6222002401842,6222003316042,200mg,Suppository,6,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00117,Adol,Adol,Paracetamol,EIPICO,6221003982493,6221001886850,200mg,Gel,30g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00118,Paracetamol 400mg,Paracetamol,Paracetamol,EIPICO,6222001974439,6222001602273,400mg,Capsule,30 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00119,Paracetamol,Paracetamol,Paracetamol,EIPICO,6222001868702,6221002517986,200mg,Gel,30g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00120,Paracetamol,Paracetamol,Paracetamol,EIPICO,6222002628814,6222001152018,500mg,Tablet,10 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00121,Acamol 600mg,Acamol,Diclofenac,EIPICO,6223001636072,6223001357846,600mg,Tablet,10 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00122,Acamol,Acamol,Diclofenac,EIPICO,6221001472273,6223001299468,600mg,Gel,50g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00123,Acamol,Acamol,Paracetamol,EIPICO,6222003919793,6222003183423,400mg,Injection,2ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00124,Doliprane 1000mg,Doliprane,Diclofenac,EIPICO,6221003187479,6221003564126,1000mg,Gel,100g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00125,Doliprane,Doliprane,Ibuprofen,EIPICO,6221003389848,6221003952907,500mg,Tablet,50 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00126,Doliprane,Doliprane,Ibuprofen,EIPICO,6222001160517,6221003992234,200mg,Gel,100g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00127,Panadol 200mg,Panadol,Paracetamol,EIPICO,6222003974859,6221001115085,200mg,Gel,15g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00128,Panadol,Panadol,Paracetamol,EIPICO,6223001482079,6222001878515,600mg,Injection,1ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00129,Panadol,Panadol,Paracetamol,EIPICO,6222001373129,6223002679175,500mg,Capsule,30 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00130,Tylenol 400mg,Tylenol,Ibuprofen,EIPICO,6222002683847,6221001195452,400mg,Suppository,6,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00131,Tylenol,Tylenol,Paracetamol,EIPICO,6221001675228,6223001146456,200mg,Capsule,50 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00132,Tylenol,Tylenol,Diclofenac,EIPICO,6223002657008,6223002322305,200mg,Suppository,6,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00133,Calpol 1000mg,Calpol,Ibuprofen,EIPICO,6221003528478,6221003154480,1000mg,Gel,15g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00134,Calpol,Calpol,Ibuprofen,EIPICO,6222002117992,6221002712957,500mg,Capsule,30 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00135,Calpol,Calpol,Paracetamol,EIPICO,6222002501793,6221003196122,400mg,Tablet,10 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00136,Ibuprofen 400mg,Ibuprofen,Ibuprofen,EIPICO,6223002233067,6221002355291,400mg,Capsule,20 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00137,Ibuprofen,Ibuprofen,Ibuprofen,EIPICO,6221001397942,6223001162705,1000mg,Capsule,30 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00138,Ibuprofen,Ibuprofen,Ibuprofen,EIPICO,6221002145711,6222002120146,1000mg,Injection,2ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00139,Advil 600mg,Advil,Paracetamol,EIPICO,6223001923039,6221003305799,600mg,Capsule,20 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00140,Advil,Advil,Ibuprofen,EIPICO,6222001796198,6222001114614,200mg,Injection,10ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00141,Advil,Advil,Ibuprofen,EIPICO,6222002827907,6221002777065,1000mg,Capsule,50 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00142,Brufen 1000mg,Brufen,Diclofenac,EIPICO,6223002476003,6222001487494,1000mg,Gel,30g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00143,Brufen,Brufen,Paracetamol,EIPICO,6221001224726,6221002140830,200mg,Injection,10ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00144,Brufen,Brufen,Paracetamol,EIPICO,6222002688900,6221002771920,1000mg,Gel,100g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00145,Motrin 1000mg,Motrin,Paracetamol,EIPICO,6223002952847,6222002538928,1000mg,Injection,10ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00146,Motrin,Motrin,Ibuprofen,EIPICO,6223002425510,6222003517128,500mg,Injection,1ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00147,Motrin,Motrin,Paracetamol,EIPICO,6222002115564,6223001568602,500mg,Capsule,10 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00148,Nurofen 500mg,Nurofen,Paracetamol,EIPICO,6223001216252,6221001419071,500mg,Capsule,10 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00149,Nurofen,Nurofen,Diclofenac,EIPICO,6223002899340,6222002537663,500mg,Gel,100g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00150,Nurofen,Nurofen,Ibuprofen,EIPICO,6222002110660,6222003632839,600mg,Suppository,12,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00151,Ibuprofen 200mg,Ibuprofen,Ibuprofen,EIPICO,6222001132446,6221003371465,200mg,Injection,10ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00152,Ibuprofen,Ibuprofen,Ibuprofen,EIPICO,6221001118593,6223002294237,200mg,Suppository,12,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00153,Ibuprofen,Ibuprofen,Ibuprofen,EIPICO,6221003101571,6223001150694,500mg,Gel,15g,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00154,Ibufen 600mg,Ibufen,Paracetamol,EIPICO,6222003530080,6223002886464,600mg,Suppository,6,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00155,Ibufen,Ibufen,Paracetamol,EIPICO,6223001785533,6223002625268,400mg,Tablet,50 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00156,Ibufen,Ibufen,Ibuprofen,EIPICO,6222003989619,6223001982929,500mg,Injection,1ml,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00157,Diclofenac 200mg,Diclofenac,Diclofenac,EIPICO,6222003275856,6223001754598,200mg,Capsule,20 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
med_00158,Diclofenac,Diclofenac,Diclofenac,EIPICO,6221002343917,6222002725141,200mg,Capsule,10 units,5-50 EGP,False,"Store below 25°C, protect from light",Painkillers
