id,tradeName,scientificName,company,category,price,currency,dosageForm,strength,requiresPrescription,availability,description
drug_00048,Cefepime 1g,Unknown,Pharco,Antibiotics,140.67,EGP,Tablet,1g,True,Limited,Cefepime 1g - Antibiotics medication by Pharco
drug_00049,Maxipime 1g,Unknown,Sedico,Antibiotics,16.04,EGP,Tablet,1g,True,Out of Stock,Maxipime 1g - Antibiotics medication by Sedico
drug_00050,Piperacillin/Tazobactam,Unknown,LEO Pharma,Antibiotics,67.01,EGP,Tablet,,True,Available,Piperacillin/Tazobactam - Antibiotics medication by LEO Pharma
drug_00051,Tazocin 4.5g,Unknown,Novartis,Antibiotics,56.64,EGP,Tablet,4.5g,True,Out of Stock,Tazocin 4.5g - Antibiotics medication by Novartis
drug_00052,Imipenem/Cilastatin,Unknown,LEO Pharma,Antibiotics,35.21,EGP,Tablet,,True,Limited,Imipenem/Cilastatin - Antibiotics medication by LEO Pharma
drug_00053,Tienam 500,Unknown,Boehringer Ingelheim,Antibiotics,175.58,EGP,Tablet,,True,Available,Tienam 500 - Antibiotics medication by Boehringer Ingelheim
drug_00054,Meropenem,Unknown,Sandoz,Antibiotics,18.93,EGP,Tablet,,True,Out of Stock,Meropenem - Antibiotics medication by Sandoz
drug_00055,Meronem 1g,Unknown,CID,Antibiotics,19.98,EGP,Tablet,1g,True,Available,Meronem 1g - Antibiotics medication by CID
drug_00056,Linezolid,Unknown,AstraZeneca,Antibiotics,81.79,EGP,Tablet,,True,Available,Linezolid - Antibiotics medication by AstraZeneca
drug_00057,Zyvox 600,Unknown,EIPICO,Antibiotics,134.91,EGP,Tablet,,True,Available,Zyvox 600 - Antibiotics medication by EIPICO
drug_00058,Vancomycin,Unknown,Novartis,Antibiotics,50.57,EGP,Tablet,,True,Available,Vancomycin - Antibiotics medication by Novartis
drug_00059,Vancocin 1g,Unknown,Sanofi,Antibiotics,147.03,EGP,Tablet,1g,True,Available,Vancocin 1g - Antibiotics medication by Sanofi
drug_00060,Panadol Advance,Paracetamol,Global Napi,Pain & Inflammation,83.94,EGP,Tablet,,False,Limited,Panadol Advance - Pain & Inflammation medication by Global Napi
drug_00061,Panadol Extra,Paracetamol,Sedico,Pain & Inflammation,98.46,EGP,Tablet,,False,Available,Panadol Extra - Pain & Inflammation medication by Sedico
drug_00062,Panadol Joint,Paracetamol,Novartis,Pain & Inflammation,103.84,EGP,Tablet,,False,Out of Stock,Panadol Joint - Pain & Inflammation medication by Novartis
drug_00063,Panadol ActiFast,Paracetamol,CID,Pain & Inflammation,81.72,EGP,Tablet,,False,Available,Panadol ActiFast - Pain & Inflammation medication by CID
drug_00064,Cetal,Unknown,EIPICO,Pain & Inflammation,93.69,EGP,Tablet,,False,Out of Stock,Cetal - Pain & Inflammation medication by EIPICO
drug_00065,Adol 500,Unknown,Julphar,Pain & Inflammation,42.18,EGP,Tablet,,False,Limited,Adol 500 - Pain & Inflammation medication by Julphar
drug_00066,Adol 250,Unknown,Julphar,Pain & Inflammation,89.04,EGP,Tablet,,False,Available,Adol 250 - Pain & Inflammation medication by Julphar
drug_00067,Abimol,Unknown,GlaxoSmithKline,Pain & Inflammation,60.18,EGP,Tablet,,False,Out of Stock,Abimol - Pain & Inflammation medication by GlaxoSmithKline
drug_00068,Para-plus,Unknown,Medical Union,Pain & Inflammation,67.33,EGP,Tablet,,False,Limited,Para-plus - Pain & Inflammation medication by Medical Union
drug_00069,Fludrex,Unknown,Tabuk,Pain & Inflammation,84.48,EGP,Tablet,,False,Out of Stock,Fludrex - Pain & Inflammation medication by Tabuk
drug_00070,Voltaren 100,Diclofenac,Novartis,Pain & Inflammation,62.82,EGP,Tablet,,False,Limited,Voltaren 100 - Pain & Inflammation medication by Novartis
drug_00071,Voltaren 50,Diclofenac,Novartis,Pain & Inflammation,34.53,EGP,Tablet,,False,Available,Voltaren 50 - Pain & Inflammation medication by Novartis
drug_00072,Voltaren Emulgel,Diclofenac,Novartis,Pain & Inflammation,118.2,EGP,Tablet,,False,Available,Voltaren Emulgel - Pain & Inflammation medication by Novartis
drug_00073,Diclofenac Sodium,Diclofenac,Novartis,Pain & Inflammation,11.02,EGP,Tablet,,False,Limited,Diclofenac Sodium - Pain & Inflammation medication by Novartis
drug_00074,Catafast 50,Unknown,Novartis,Pain & Inflammation,114.43,EGP,Tablet,,False,Available,Catafast 50 - Pain & Inflammation medication by Novartis
drug_00075,Catafast 25,Unknown,Novartis,Pain & Inflammation,120.97,EGP,Tablet,,False,Limited,Catafast 25 - Pain & Inflammation medication by Novartis
drug_00076,Brufen 400,Ibuprofen,Abbott,Pain & Inflammation,87.88,EGP,Tablet,,False,Out of Stock,Brufen 400 - Pain & Inflammation medication by Abbott
drug_00077,Brufen 600,Ibuprofen,Abbott,Pain & Inflammation,70.35,EGP,Tablet,,False,Out of Stock,Brufen 600 - Pain & Inflammation medication by Abbott
drug_00078,Ibuprofen 400,Ibuprofen,Julphar,Pain & Inflammation,96.26,EGP,Tablet,,False,Out of Stock,Ibuprofen 400 - Pain & Inflammation medication by Julphar
drug_00079,Ketofan,Unknown,Amoun,Pain & Inflammation,19.39,EGP,Tablet,,False,Out of Stock,Ketofan - Pain & Inflammation medication by Amoun
drug_00080,Ketoprofen,Unknown,AstraZeneca,Pain & Inflammation,104.76,EGP,Tablet,,False,Limited,Ketoprofen - Pain & Inflammation medication by AstraZeneca
drug_00081,Naprogesic,Unknown,Janssen,Pain & Inflammation,28.54,EGP,Tablet,,False,Limited,Naprogesic - Pain & Inflammation medication by Janssen
drug_00082,Naproxen 500,Unknown,Sedico,Pain & Inflammation,68.33,EGP,Tablet,,False,Out of Stock,Naproxen 500 - Pain & Inflammation medication by Sedico
drug_00083,Naproxen 250,Unknown,Pfizer,Pain & Inflammation,22.75,EGP,Tablet,,False,Out of Stock,Naproxen 250 - Pain & Inflammation medication by Pfizer
drug_00084,Celebrex 200,Unknown,Amoun,Pain & Inflammation,92.02,EGP,Tablet,,False,Available,Celebrex 200 - Pain & Inflammation medication by Amoun
drug_00085,Celecoxib 200,Unknown,Julphar,Pain & Inflammation,52.92,EGP,Tablet,,False,Out of Stock,Celecoxib 200 - Pain & Inflammation medication by Julphar
drug_00086,Arcoxia 90,Unknown,EIPICO,Pain & Inflammation,132.77,EGP,Tablet,,False,Out of Stock,Arcoxia 90 - Pain & Inflammation medication by EIPICO
drug_00087,Etoricoxib 90,Unknown,Servier,Pain & Inflammation,23.88,EGP,Tablet,,False,Available,Etoricoxib 90 - Pain & Inflammation medication by Servier
drug_00088,Lyrica 75,Unknown,Servier,Pain & Inflammation,26.41,EGP,Tablet,,False,Out of Stock,Lyrica 75 - Pain & Inflammation medication by Servier
drug_00089,Lyrica 150,Unknown,Spimaco,Pain & Inflammation,135.42,EGP,Tablet,,False,Out of Stock,Lyrica 150 - Pain & Inflammation medication by Spimaco
drug_00090,Pregabalin 75,Unknown,Sedico,Pain & Inflammation,54.87,EGP,Tablet,,False,Out of Stock,Pregabalin 75 - Pain & Inflammation medication by Sedico
drug_00091,Pregabalin 150,Unknown,Novartis,Pain & Inflammation,79.71,EGP,Tablet,,False,Limited,Pregabalin 150 - Pain & Inflammation medication by Novartis
drug_00092,Neurontin 300,Unknown,GlaxoSmithKline,Pain & Inflammation,100.01,EGP,Tablet,,False,Out of Stock,Neurontin 300 - Pain & Inflammation medication by GlaxoSmithKline
drug_00093,Gabapentin 300,Unknown,GlaxoSmithKline,Pain & Inflammation,35.38,EGP,Tablet,,False,Limited,Gabapentin 300 - Pain & Inflammation medication by GlaxoSmithKline
drug_00094,Tramal 50,Unknown,Sanofi,Pain & Inflammation,142.1,EGP,Tablet,,False,Available,Tramal 50 - Pain & Inflammation medication by Sanofi
drug_00095,Tramal 100,Unknown,Spimaco,Pain & Inflammation,69.36,EGP,Tablet,,False,Out of Stock,Tramal 100 - Pain & Inflammation medication by Spimaco
drug_00096,Tramadol 50,Unknown,Global Napi,Pain & Inflammation,85.99,EGP,Tablet,,False,Limited,Tramadol 50 - Pain & Inflammation medication by Global Napi
drug_00097,Tramadol HCL,Unknown,AstraZeneca,Pain & Inflammation,146.4,EGP,Tablet,,False,Limited,Tramadol HCL - Pain & Inflammation medication by AstraZeneca
drug_00098,Doloprane,Unknown,Servier,Pain & Inflammation,50.59,EGP,Tablet,,False,Out of Stock,Doloprane - Pain & Inflammation medication by Servier
drug_00099,Dolowin,Unknown,Boehringer Ingelheim,Pain & Inflammation,83.49,EGP,Tablet,,False,Limited,Dolowin - Pain & Inflammation medication by Boehringer Ingelheim
drug_00100,Dolorex,Unknown,Takeda,Pain & Inflammation,83.45,EGP,Tablet,,False,Out of Stock,Dolorex - Pain & Inflammation medication by Takeda
drug_00101,Dolostop,Unknown,Bayer,Pain & Inflammation,141.28,EGP,Tablet,,False,Limited,Dolostop - Pain & Inflammation medication by Bayer
drug_00102,Myospaz,Unknown,Julphar,Pain & Inflammation,87.35,EGP,Tablet,,False,Available,Myospaz - Pain & Inflammation medication by Julphar
drug_00103,Myospaz Forte,Unknown,AstraZeneca,Pain & Inflammation,10.35,EGP,Tablet,,False,Available,Myospaz Forte - Pain & Inflammation medication by AstraZeneca
drug_00104,Spasmoproxyvon,Unknown,Sedico,Pain & Inflammation,103.79,EGP,Tablet,,False,Available,Spasmoproxyvon - Pain & Inflammation medication by Sedico
drug_00105,Spasmoproxyvon Plus,Unknown,GSK,Pain & Inflammation,132.37,EGP,Tablet,,False,Available,Spasmoproxyvon Plus - Pain & Inflammation medication by GSK
drug_00106,Buscopan,Unknown,Boehringer Ingelheim,Pain & Inflammation,124.23,EGP,Tablet,,False,Limited,Buscopan - Pain & Inflammation medication by Boehringer Ingelheim
drug_00107,Buscopan Plus,Unknown,Boehringer Ingelheim,Pain & Inflammation,84.38,EGP,Tablet,,False,Limited,Buscopan Plus - Pain & Inflammation medication by Boehringer Ingelheim
drug_00108,Visceralgine,Unknown,Sedico,Pain & Inflammation,88.68,EGP,Tablet,,False,Limited,Visceralgine - Pain & Inflammation medication by Sedico
drug_00109,Hyoscine,Unknown,Spimaco,Pain & Inflammation,130.14,EGP,Tablet,,False,Out of Stock,Hyoscine - Pain & Inflammation medication by Spimaco
drug_00110,Tiemonium,Unknown,CID,Pain & Inflammation,62.56,EGP,Tablet,,False,Out of Stock,Tiemonium - Pain & Inflammation medication by CID
drug_00111,Colospa,Unknown,Amoun,Pain & Inflammation,64.31,EGP,Tablet,,False,Limited,Colospa - Pain & Inflammation medication by Amoun
drug_00112,Colospa Mylan,Unknown,Global Napi,Pain & Inflammation,138.5,EGP,Tablet,,False,Available,Colospa Mylan - Pain & Inflammation medication by Global Napi
drug_00113,Duspatalin 200 Retard,Unknown,Abbott,Pain & Inflammation,146.79,EGP,Tablet,,False,Out of Stock,Duspatalin 200 Retard - Pain & Inflammation medication by Abbott
drug_00114,Mebeverine,Unknown,EIPICO,Pain & Inflammation,127.5,EGP,Tablet,,False,Available,Mebeverine - Pain & Inflammation medication by EIPICO
drug_00115,No-Spa,Unknown,GlaxoSmithKline,Pain & Inflammation,87.35,EGP,Tablet,,False,Limited,No-Spa - Pain & Inflammation medication by GlaxoSmithKline
drug_00116,No-Spa Forte,Unknown,Bayer,Pain & Inflammation,102.7,EGP,Tablet,,False,Available,No-Spa Forte - Pain & Inflammation medication by Bayer
drug_00117,Drotaverine,Unknown,Medical Union,Pain & Inflammation,121.08,EGP,Tablet,,False,Available,Drotaverine - Pain & Inflammation medication by Medical Union
drug_00118,Drotin,Unknown,EIPICO,Pain & Inflammation,14.33,EGP,Tablet,,False,Out of Stock,Drotin - Pain & Inflammation medication by EIPICO
drug_00119,Drotaverine HCL,Unknown,Hikma,Pain & Inflammation,86.98,EGP,Tablet,,False,Out of Stock,Drotaverine HCL - Pain & Inflammation medication by Hikma
drug_00120,Nexium 40,Esomeprazole,GSK,Gastrointestinal,60.8,EGP,Tablet,,False,Available,Nexium 40 - Gastrointestinal medication by GSK
drug_00121,Nexium 20,Esomeprazole,GSK,Gastrointestinal,126.81,EGP,Tablet,,False,Out of Stock,Nexium 20 - Gastrointestinal medication by GSK
drug_00122,Esomeprazole 40,Unknown,Novartis,Gastrointestinal,107.63,EGP,Tablet,,False,Limited,Esomeprazole 40 - Gastrointestinal medication by Novartis
drug_00123,Esomeprazole 20,Unknown,Amoun,Gastrointestinal,77.71,EGP,Tablet,,False,Out of Stock,Esomeprazole 20 - Gastrointestinal medication by Amoun
drug_00124,Controloc 40,Pantoprazole,Takeda,Gastrointestinal,90.06,EGP,Tablet,,False,Limited,Controloc 40 - Gastrointestinal medication by Takeda
drug_00125,Controloc 20,Pantoprazole,Takeda,Gastrointestinal,208.11,EGP,Tablet,,False,Limited,Controloc 20 - Gastrointestinal medication by Takeda
drug_00126,Pantoprazole 40,Unknown,Amoun,Gastrointestinal,35.35,EGP,Tablet,,False,Limited,Pantoprazole 40 - Gastrointestinal medication by Amoun
drug_00127,Pantoprazole 20,Unknown,Julphar,Gastrointestinal,80.57,EGP,Tablet,,False,Limited,Pantoprazole 20 - Gastrointestinal medication by Julphar
drug_00128,Losec 20,Unknown,AstraZeneca,Gastrointestinal,98.8,EGP,Tablet,,False,Out of Stock,Losec 20 - Gastrointestinal medication by AstraZeneca
drug_00129,Omeprazole 20,Omeprazole,Hikma,Gastrointestinal,27.66,EGP,Tablet,,False,Available,Omeprazole 20 - Gastrointestinal medication by Hikma
drug_00130,Omeprazole 40,Omeprazole,Spimaco,Gastrointestinal,111.87,EGP,Tablet,,False,Out of Stock,Omeprazole 40 - Gastrointestinal medication by Spimaco
drug_00131,Prilosec 20,Unknown,GlaxoSmithKline,Gastrointestinal,201.29,EGP,Tablet,,False,Available,Prilosec 20 - Gastrointestinal medication by GlaxoSmithKline
drug_00132,Zantac 150,Unknown,Tabuk,Gastrointestinal,124.44,EGP,Tablet,,False,Available,Zantac 150 - Gastrointestinal medication by Tabuk
drug_00133,Zantac 300,Unknown,Sigma,Gastrointestinal,166.37,EGP,Tablet,,False,Limited,Zantac 300 - Gastrointestinal medication by Sigma
drug_00134,Ranitidine 150,Unknown,EIPICO,Gastrointestinal,196.07,EGP,Tablet,,False,Out of Stock,Ranitidine 150 - Gastrointestinal medication by EIPICO
drug_00135,Ranitidine 300,Unknown,EIPICO,Gastrointestinal,57.84,EGP,Tablet,,False,Limited,Ranitidine 300 - Gastrointestinal medication by EIPICO
drug_00136,Motilium,Domperidone,Janssen,Gastrointestinal,244.26,EGP,Tablet,,False,Limited,Motilium - Gastrointestinal medication by Janssen
drug_00137,Domperidone 10,Unknown,Julphar,Gastrointestinal,59.28,EGP,Tablet,,False,Limited,Domperidone 10 - Gastrointestinal medication by Julphar
drug_00138,Domperidone,Unknown,Amoun,Gastrointestinal,81.72,EGP,Tablet,,False,Limited,Domperidone - Gastrointestinal medication by Amoun
drug_00139,Motilium 10,Domperidone,Janssen,Gastrointestinal,224.27,EGP,Tablet,,False,Available,Motilium 10 - Gastrointestinal medication by Janssen
drug_00140,Spasmo-digestin,Unknown,Pharco,Gastrointestinal,21.35,EGP,Tablet,,False,Limited,Spasmo-digestin - Gastrointestinal medication by Pharco
drug_00141,Spasmo-digestin Forte,Unknown,Pharco,Gastrointestinal,112.01,EGP,Tablet,,False,Out of Stock,Spasmo-digestin Forte - Gastrointestinal medication by Pharco
drug_00142,Metoclopramide 10,Unknown,EIPICO,Gastrointestinal,27.82,EGP,Tablet,,False,Out of Stock,Metoclopramide 10 - Gastrointestinal medication by EIPICO
drug_00143,Maxilase,Unknown,Sanofi,Gastrointestinal,153.48,EGP,Tablet,,False,Limited,Maxilase - Gastrointestinal medication by Sanofi
drug_00144,Alphintern,Unknown,Amoun,Gastrointestinal,177.52,EGP,Tablet,,False,Available,Alphintern - Gastrointestinal medication by Amoun
drug_00145,Ambezim-G,Unknown,Global Napi,Gastrointestinal,148.97,EGP,Tablet,,False,Available,Ambezim-G - Gastrointestinal medication by Global Napi
drug_00146,Trypsin/Chymotrypsin,Unknown,Pfizer,Gastrointestinal,37.91,EGP,Tablet,,False,Out of Stock,Trypsin/Chymotrypsin - Gastrointestinal medication by Pfizer
drug_00147,Creon 25000,Unknown,Merck,Gastrointestinal,214.51,EGP,Tablet,,False,Available,Creon 25000 - Gastrointestinal medication by Merck
drug_00148,Creon 10000,Unknown,Pharco,Gastrointestinal,173.22,EGP,Tablet,,False,Out of Stock,Creon 10000 - Gastrointestinal medication by Pharco
drug_00149,Pancrease MT,Unknown,Merck,Gastrointestinal,98.01,EGP,Tablet,,False,Available,Pancrease MT - Gastrointestinal medication by Merck
drug_00150,Pancrease MT 16,Unknown,Sanofi,Gastrointestinal,183.15,EGP,Tablet,,False,Available,Pancrease MT 16 - Gastrointestinal medication by Sanofi
drug_00151,Gaviscon,Unknown,Hikma,Gastrointestinal,207.73,EGP,Tablet,,False,Out of Stock,Gaviscon - Gastrointestinal medication by Hikma
drug_00152,Gaviscon Advance,Unknown,Servier,Gastrointestinal,46.85,EGP,Tablet,,False,Out of Stock,Gaviscon Advance - Gastrointestinal medication by Servier
drug_00153,Mucogel,Unknown,Sedico,Gastrointestinal,45.94,EGP,Tablet,,False,Available,Mucogel - Gastrointestinal medication by Sedico
drug_00154,Almagate,Unknown,Merck,Gastrointestinal,191.5,EGP,Tablet,,False,Limited,Almagate - Gastrointestinal medication by Merck
drug_00155,Maalox,Unknown,Boehringer Ingelheim,Gastrointestinal,65.06,EGP,Tablet,,False,Out of Stock,Maalox - Gastrointestinal medication by Boehringer Ingelheim
drug_00156,Phosphalugel,Unknown,EIPICO,Gastrointestinal,229.2,EGP,Tablet,,False,Out of Stock,Phosphalugel - Gastrointestinal medication by EIPICO
drug_00157,Aluminium Phosphate Gel,Gel,LEO Pharma,Gastrointestinal,219.8,EGP,Gel,,False,Available,Aluminium Phosphate Gel - Gastrointestinal medication by LEO Pharma
drug_00158,Lansoprazole 30,Unknown,LEO Pharma,Gastrointestinal,104.32,EGP,Tablet,,False,Limited,Lansoprazole 30 - Gastrointestinal medication by LEO Pharma
drug_00159,Prevacid 30,Unknown,Sedico,Gastrointestinal,164.35,EGP,Tablet,,False,Limited,Prevacid 30 - Gastrointestinal medication by Sedico
drug_00160,Rabeprazole 20,Unknown,Hikma,Gastrointestinal,246.45,EGP,Tablet,,False,Out of Stock,Rabeprazole 20 - Gastrointestinal medication by Hikma
drug_00161,Pariet 20,Unknown,Tabuk,Gastrointestinal,77.7,EGP,Tablet,,False,Out of Stock,Pariet 20 - Gastrointestinal medication by Tabuk
drug_00162,Dexilant 60,Unknown,Novartis,Gastrointestinal,204.97,EGP,Tablet,,False,Available,Dexilant 60 - Gastrointestinal medication by Novartis
drug_00163,Dexlansoprazole 60,Unknown,Pfizer,Gastrointestinal,36.86,EGP,Tablet,,False,Limited,Dexlansoprazole 60 - Gastrointestinal medication by Pfizer
drug_00164,Sucralfate,Unknown,Spimaco,Gastrointestinal,98.61,EGP,Tablet,,False,Limited,Sucralfate - Gastrointestinal medication by Spimaco
drug_00165,Carafate,Unknown,Spimaco,Gastrointestinal,143.76,EGP,Tablet,,False,Limited,Carafate - Gastrointestinal medication by Spimaco
drug_00166,Sucralate,Unknown,Sedico,Gastrointestinal,94.79,EGP,Tablet,,False,Limited,Sucralate - Gastrointestinal medication by Sedico
drug_00167,Bismuth Subcitrate,Unknown,Amoun,Gastrointestinal,187.99,EGP,Tablet,,False,Out of Stock,Bismuth Subcitrate - Gastrointestinal medication by Amoun
drug_00168,De-Nol,Unknown,Pfizer,Gastrointestinal,151.87,EGP,Tablet,,False,Out of Stock,De-Nol - Gastrointestinal medication by Pfizer
drug_00169,Quadruple Therapy,Unknown,Medical Union,Gastrointestinal,141.98,EGP,Tablet,,False,Out of Stock,Quadruple Therapy - Gastrointestinal medication by Medical Union
drug_00170,H. Pylori Kit,Unknown,Global Napi,Gastrointestinal,177.29,EGP,Tablet,,False,Available,H. Pylori Kit - Gastrointestinal medication by Global Napi
drug_00171,Concor 5,Bisoprolol,Merck,Cardiovascular,188.1,EGP,Tablet,,True,Available,Concor 5 - Cardiovascular medication by Merck
drug_00172,Concor 10,Bisoprolol,Merck,Cardiovascular,85.58,EGP,Tablet,,True,Available,Concor 10 - Cardiovascular medication by Merck
