name,governorate,city,district,address,phone,location_url,district_id
صيدلية د. حسن أحمد,جنوب سيناء,المركز الرئيسي,الحي 7,شارع 68، خلف المسجد، الحي 7,0116452822,"https://www.google.com/maps?q=29.778587901928365,31.90833921147243",DIST-26-591
صيدلية خليل - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 6,شارع 63، خلف المدرسة، الحي 6,0159328206,"https://www.google.com/maps?q=29.9273553762597,31.839832132495093",DIST-22-348
صيدلية سيف - المنصورة,الدقهلية,المنصورة,الحي 6,شارع 64، خلف المدرسة، الحي 6,0157532266,"https://www.google.com/maps?q=29.961276106705377,31.69150280878626",DIST-04-523
صيدلية د. محمود محمود,بورسعيد,المركز الرئيسي,الحي 1,شارع 80، خلف المدرسة، الحي 1,0108784853,"https://www.google.com/maps?q=30.981454844137637,30.169210145407895",DIST-11-882
صيدلية د. محمود محمود,قنا,المركز الرئيسي,الحي 1,شارع 25، خلف المسجد، الحي 1,0157187914,"https://www.google.com/maps?q=30.499494560814412,31.726816886616163",DIST-19-315
صيدلية د. محمد سيد,الإسكندرية,المنتزة,الحي 3,شارع 95، خلف المسجد، الحي 3,0124826975,"https://www.google.com/maps?q=29.90761434773988,30.015404283991554",DIST-02-969
صيدلية د. إبراهيم سيد,بورسعيد,المركز الرئيسي,الحي 3,شارع 26، خلف المدرسة، الحي 3,0117022321,"https://www.google.com/maps?q=30.399029445037677,31.95955181508904",DIST-11-502
صيدلية مصر - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 9,شارع 15، خلف المدرسة، الحي 9,0121056432,"https://www.google.com/maps?q=30.07131864519699,31.010109028621947",DIST-18-579
صيدلية خليل - بلبيس,الشرقية,بلبيس,الحي 4,شارع 35، خلف البنك، الحي 4,0109272869,"https://www.google.com/maps?q=29.475938779997378,30.26032664402288",DIST-05-561
صيدلية صيدليات شاكر - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 5,شارع 36، خلف المدرسة، الحي 5,0113191627,"https://www.google.com/maps?q=30.1691930976832,30.802447695878374",DIST-12-550
صيدلية د. سيد حسين,الفيوم,المركز الرئيسي,الحي 10,شارع 95، خلف المسجد، الحي 10,0154878641,"https://www.google.com/maps?q=30.5863542553117,30.400749336488985",DIST-14-194
صيدلية د. سيد إبراهيم,قنا,المركز الرئيسي,الحي 4,شارع 39، خلف المسجد، الحي 4,0115322070,"https://www.google.com/maps?q=30.05203158170595,31.494271614802805",DIST-19-802
صيدلية 19011 - المركز الرئيسي,القليوبية,المركز الرئيسي,الحي 2,شارع 5، خلف المسجد، الحي 2,0114883245,"https://www.google.com/maps?q=29.307004728444294,30.691999223387857",DIST-03-367
صيدلية مصر - المركز الرئيسي,كفر الشيخ,المركز الرئيسي,الحي 9,شارع 15، خلف المسجد، الحي 9,0124248365,"https://www.google.com/maps?q=29.29798322068123,30.3000116189764",DIST-09-111
صيدلية د. علي سيد,المنيا,المركز الرئيسي,الحي 4,شارع 44، خلف المسجد، الحي 4,0152081405,"https://www.google.com/maps?q=29.28003604044885,31.960100113294413",DIST-16-255
صيدلية د. حسين حسين,قنا,المركز الرئيسي,الحي 9,شارع 36، خلف المدرسة، الحي 9,0118882600,"https://www.google.com/maps?q=30.853860504248114,30.81702152057603",DIST-19-952
صيدلية د. علي محمود,قنا,المركز الرئيسي,الحي 1,شارع 80، خلف المدرسة، الحي 1,0105558938,"https://www.google.com/maps?q=30.89442666223094,30.991505501454206",DIST-19-716
صيدلية علي وعلي - المركز الرئيسي,قنا,المركز الرئيسي,الحي 2,شارع 50، خلف البنك، الحي 2,0103730576,"https://www.google.com/maps?q=29.364679828036078,30.555229706862377",DIST-19-112
صيدلية خليل - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 9,شارع 39، خلف المدرسة، الحي 9,0153667335,"https://www.google.com/maps?q=30.3700976356946,31.404142897143387",DIST-12-800
صيدلية مصر - المركز الرئيسي,البحيرة,المركز الرئيسي,الحي 2,شارع 1، خلف البنك، الحي 2,0156080456,"https://www.google.com/maps?q=29.069457813606405,31.864874577048035",DIST-08-206
صيدلية العزبي - المركز الرئيسي,البحيرة,المركز الرئيسي,الحي 7,شارع 57، خلف المدرسة، الحي 7,0115870014,"https://www.google.com/maps?q=30.458014059449436,31.63411555698353",DIST-08-356
صيدلية د. محمود علي,السويس,المركز الرئيسي,الحي 8,شارع 10، خلف المسجد، الحي 8,0116862242,"https://www.google.com/maps?q=29.24296548097737,30.419803546786248",DIST-13-529
صيدلية صيدلية المدينة - المركز الرئيسي,كفر الشيخ,المركز الرئيسي,الحي 9,شارع 43، خلف المسجد، الحي 9,0112847833,"https://www.google.com/maps?q=29.952253140056836,31.990150164019926",DIST-09-847
صيدلية صيدليات شاكر - المركز الرئيسي,بني سويف,المركز الرئيسي,الحي 6,شارع 99، خلف المدرسة، الحي 6,0151721203,"https://www.google.com/maps?q=30.55937446040894,31.997861407446813",DIST-15-292
صيدلية العزبي - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 5,شارع 21، خلف المسجد، الحي 5,0114585548,"https://www.google.com/maps?q=29.935267459828946,31.86714434331422",DIST-22-791
صيدلية د. علي محمود,دمياط,المركز الرئيسي,الحي 2,شارع 6، خلف البنك، الحي 2,0152063563,"https://www.google.com/maps?q=29.965508865748085,31.436522087055355",DIST-10-799
صيدلية 19011 - المركز الرئيسي,الغربية,المركز الرئيسي,الحي 9,شارع 43، خلف المسجد، الحي 9,0119091033,"https://www.google.com/maps?q=29.54004550609894,31.997851912199337",DIST-07-222
صيدلية سيف - الدقي,الجيزة,الدقي,الحي 7,شارع 17، خلف البنك، الحي 7,0113974819,"https://www.google.com/maps?q=30.48036044088357,30.521979913680696",DIST-01-858
صيدلية مصر - المركز الرئيسي,البحيرة,المركز الرئيسي,الحي 6,شارع 7، خلف المسجد، الحي 6,0114662918,"https://www.google.com/maps?q=29.277309533915727,31.769444688836163",DIST-08-896
صيدلية د. محمود حسن,الوادي الجديد,المركز الرئيسي,الحي 3,شارع 36، خلف المسجد، الحي 3,0124170637,"https://www.google.com/maps?q=29.335895378106294,30.032432568376514",DIST-23-425
صيدلية مصر - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 6,شارع 20، خلف المدرسة، الحي 6,0128811719,"https://www.google.com/maps?q=30.18685431306707,31.866983462782837",DIST-21-295
صيدلية مصر - المركز الرئيسي,أسيوط,المركز الرئيسي,الحي 4,شارع 7، خلف المدرسة، الحي 4,0156784690,"https://www.google.com/maps?q=29.7667505987255,30.70730098907803",DIST-17-952
صيدلية د. محمود حسن,السويس,المركز الرئيسي,الحي 9,شارع 60، خلف المدرسة، الحي 9,0125011904,"https://www.google.com/maps?q=29.07319721594496,31.183086111881302",DIST-13-516
صيدلية د. محمد حسن,السويس,المركز الرئيسي,الحي 4,شارع 68، خلف المدرسة، الحي 4,0125241510,"https://www.google.com/maps?q=29.568780745908466,30.631270030170867",DIST-13-669
صيدلية رشدي - المركز الرئيسي,السويس,المركز الرئيسي,الحي 4,شارع 51، خلف المدرسة، الحي 4,0153338736,"https://www.google.com/maps?q=29.136332473001865,30.462040274312162",DIST-13-834
صيدلية مصر - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 10,شارع 74، خلف المسجد، الحي 10,0151077849,"https://www.google.com/maps?q=29.199407153044618,31.17113686875209",DIST-22-174
صيدلية صيدليات شاكر - ميت غمر,الدقهلية,ميت غمر,الحي 1,شارع 21، خلف المدرسة، الحي 1,0107896891,"https://www.google.com/maps?q=30.69584626668705,30.281048319787033",DIST-04-479
صيدلية خليل - المركز الرئيسي,مطروح,المركز الرئيسي,الحي 3,شارع 36، خلف المسجد، الحي 3,0127057357,"https://www.google.com/maps?q=29.23669828499983,31.146423331800257",DIST-24-116
صيدلية سيف - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 2,شارع 96، خلف المسجد، الحي 2,0119503998,"https://www.google.com/maps?q=30.910333304847207,30.117482502500284",DIST-16-996
صيدلية سيف - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 9,شارع 80، خلف المدرسة، الحي 9,0127975183,"https://www.google.com/maps?q=30.622947841125118,31.153389785742288",DIST-11-655
صيدلية 19011 - المركز الرئيسي,الأقصر,المركز الرئيسي,الحي 6,شارع 95، خلف المسجد، الحي 6,0126110145,"https://www.google.com/maps?q=30.91841485774964,30.261847815405577",DIST-20-490
صيدلية مصر - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 7,شارع 29، خلف المدرسة، الحي 7,0114519236,"https://www.google.com/maps?q=30.000060171754708,31.52970854063093",DIST-06-454
صيدلية العزبي - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 9,شارع 54، خلف البنك، الحي 9,0125340356,"https://www.google.com/maps?q=30.97976673605009,31.95222447611769",DIST-11-609
صيدلية صيدليات شاكر - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 8,شارع 68، خلف البنك، الحي 8,0118600815,"https://www.google.com/maps?q=29.682962658232604,31.94274877655755",DIST-10-820
صيدلية د. علي محمد,الوادي الجديد,المركز الرئيسي,الحي 7,شارع 46، خلف البنك، الحي 7,0106126747,"https://www.google.com/maps?q=30.467794033185175,31.210493662081163",DIST-23-252
صيدلية صيدلية المدينة - المركز الرئيسي,جنوب سيناء,المركز الرئيسي,الحي 9,شارع 43، خلف البنك، الحي 9,0152257532,"https://www.google.com/maps?q=29.747526254476494,31.65297451261172",DIST-26-189
صيدلية صيدليات شاكر - الرحاب,القاهرة,الرحاب,الحي 10,شارع 17، خلف المدرسة، الحي 10,0112585651,"https://www.google.com/maps?q=30.747035679450356,31.06531133950854",DIST-00-391
صيدلية علي وعلي - المركز الرئيسي,قنا,المركز الرئيسي,الحي 4,شارع 13، خلف المسجد، الحي 4,0118778895,"https://www.google.com/maps?q=30.05913337813036,30.621576306417115",DIST-19-318
صيدلية صيدليات شاكر - المركز الرئيسي,السويس,المركز الرئيسي,الحي 9,شارع 27، خلف المدرسة، الحي 9,0107982931,"https://www.google.com/maps?q=29.996157489008272,31.526750164422943",DIST-13-598
صيدلية سيف - المركز الرئيسي,الأقصر,المركز الرئيسي,الحي 10,شارع 32، خلف المسجد، الحي 10,0128939303,"https://www.google.com/maps?q=30.986946984632162,30.1076749687845",DIST-20-713
صيدلية صيدليات شاكر - المركز الرئيسي,شمال سيناء,المركز الرئيسي,الحي 7,شارع 67، خلف المدرسة، الحي 7,0112929338,"https://www.google.com/maps?q=30.304288193619385,30.083607338517243",DIST-25-933
صيدلية علي وعلي - المركز الرئيسي,مطروح,المركز الرئيسي,الحي 3,شارع 27، خلف المسجد، الحي 3,0113188475,"https://www.google.com/maps?q=29.289757919796692,30.121800064105365",DIST-24-773
صيدلية مصر - المركز الرئيسي,القليوبية,المركز الرئيسي,الحي 6,شارع 64، خلف البنك، الحي 6,0158874325,"https://www.google.com/maps?q=29.337291518714416,31.524544576163844",DIST-03-645
صيدلية خليل - المركز الرئيسي,القليوبية,المركز الرئيسي,الحي 3,شارع 3، خلف المسجد، الحي 3,0103649272,"https://www.google.com/maps?q=29.814807156390682,31.268507488774425",DIST-03-123
صيدلية سيف - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 5,شارع 35، خلف المدرسة، الحي 5,0118225563,"https://www.google.com/maps?q=30.785722153483515,31.98854030329536",DIST-11-545
صيدلية 19011 - المركز الرئيسي,جنوب سيناء,المركز الرئيسي,الحي 9,شارع 68، خلف البنك، الحي 9,0105958936,"https://www.google.com/maps?q=30.885635476646133,31.570809912683952",DIST-26-537
صيدلية علي وعلي - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 9,شارع 46، خلف البنك، الحي 9,0116281909,"https://www.google.com/maps?q=30.780420844081984,30.12911378700899",DIST-12-460
صيدلية د. حسن حسين,القليوبية,المركز الرئيسي,الحي 3,شارع 44، خلف المسجد، الحي 3,0157486036,"https://www.google.com/maps?q=29.058474536104264,31.128127625893317",DIST-03-926
صيدلية سيف - المركز الرئيسي,قنا,المركز الرئيسي,الحي 5,شارع 26، خلف المدرسة، الحي 5,0152307682,"https://www.google.com/maps?q=29.60233034201847,30.389405108496547",DIST-19-146
صيدلية خليل - سيدي جابر,الإسكندرية,سيدي جابر,الحي 9,شارع 2، خلف البنك، الحي 9,0105294784,"https://www.google.com/maps?q=29.683198893412722,31.841573074027586",DIST-02-413
صيدلية صيدلية المدينة - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 1,شارع 4، خلف المدرسة، الحي 1,0122835769,"https://www.google.com/maps?q=29.32656052731197,31.457391377371167",DIST-16-285
صيدلية 19011 - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 3,شارع 58، خلف المسجد، الحي 3,0124961387,"https://www.google.com/maps?q=30.865094868286846,31.77021051362414",DIST-21-223
صيدلية سيف - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 1,شارع 83، خلف البنك، الحي 1,0151973944,"https://www.google.com/maps?q=30.65880246968216,30.604727219108103",DIST-16-413
صيدلية العزبي - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 2,شارع 94، خلف المسجد، الحي 2,0126009603,"https://www.google.com/maps?q=30.426367901564184,31.585324287013282",DIST-21-449
صيدلية مصر - المركز الرئيسي,الفيوم,المركز الرئيسي,الحي 7,شارع 38، خلف المدرسة، الحي 7,0124013533,"https://www.google.com/maps?q=30.6879615069509,30.04990583681149",DIST-14-687
صيدلية 19011 - المركز الرئيسي,قنا,المركز الرئيسي,الحي 6,شارع 99، خلف المدرسة، الحي 6,0112707327,"https://www.google.com/maps?q=29.81689156362691,30.42388405608529",DIST-19-556
صيدلية خليل - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 6,شارع 12، خلف المسجد، الحي 6,0153744437,"https://www.google.com/maps?q=29.2381426513631,31.358986718801514",DIST-10-291
صيدلية العزبي - المركز الرئيسي,جنوب سيناء,المركز الرئيسي,الحي 3,شارع 7، خلف المسجد، الحي 3,0109539121,"https://www.google.com/maps?q=30.574003006937414,31.093973645016366",DIST-26-805
صيدلية مصر - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 5,شارع 53، خلف المدرسة، الحي 5,0125400844,"https://www.google.com/maps?q=30.47650303081204,30.28959405595109",DIST-11-793
صيدلية مصر - المنصورة,الدقهلية,المنصورة,الحي 10,شارع 59، خلف المسجد، الحي 10,0119431192,"https://www.google.com/maps?q=30.521599597030022,31.150270328491583",DIST-04-815
صيدلية صيدليات شاكر - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 5,شارع 49، خلف البنك، الحي 5,0157570538,"https://www.google.com/maps?q=30.764840253030457,31.20649776854673",DIST-21-172
صيدلية رشدي - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 5,شارع 56، خلف المدرسة، الحي 5,0107130072,"https://www.google.com/maps?q=30.97915357241408,31.937159718683297",DIST-12-380
صيدلية خليل - المركز الرئيسي,القليوبية,المركز الرئيسي,الحي 4,شارع 23، خلف البنك، الحي 4,0105008140,"https://www.google.com/maps?q=29.980676556295624,31.51892766903115",DIST-03-453
صيدلية العزبي - المركز الرئيسي,قنا,المركز الرئيسي,الحي 10,شارع 71، خلف المدرسة، الحي 10,0153721931,"https://www.google.com/maps?q=29.023530270881682,31.386898876714877",DIST-19-895
صيدلية د. علي محمد,دمياط,المركز الرئيسي,الحي 3,شارع 96، خلف المسجد، الحي 3,0106735377,"https://www.google.com/maps?q=29.88215474748901,30.841944507426806",DIST-10-919
صيدلية علي وعلي - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 6,شارع 1، خلف المدرسة، الحي 6,0103738309,"https://www.google.com/maps?q=30.444334134200968,31.828369726210695",DIST-10-122
صيدلية د. محمود محمود,السويس,المركز الرئيسي,الحي 5,شارع 61، خلف البنك، الحي 5,0114778675,"https://www.google.com/maps?q=29.72220747212612,31.5237541931721",DIST-13-574
صيدلية د. علي محمد,المنوفية,المركز الرئيسي,الحي 8,شارع 99، خلف البنك، الحي 8,0104075225,"https://www.google.com/maps?q=30.72515592374006,31.36769860587231",DIST-06-552
صيدلية مصر - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 5,شارع 72، خلف المسجد، الحي 5,0112241404,"https://www.google.com/maps?q=30.548536626864383,31.05246652969415",DIST-11-987
صيدلية خليل - السنبلاوين,الدقهلية,السنبلاوين,الحي 10,شارع 70، خلف المدرسة، الحي 10,0122094136,"https://www.google.com/maps?q=30.52129163325343,31.857148597470648",DIST-04-998
صيدلية علي وعلي - المركز الرئيسي,السويس,المركز الرئيسي,الحي 2,شارع 40، خلف المسجد، الحي 2,0153285562,"https://www.google.com/maps?q=30.084838383297836,31.611339086721532",DIST-13-684
صيدلية سيف - المركز الرئيسي,الوادي الجديد,المركز الرئيسي,الحي 10,شارع 31، خلف المسجد، الحي 10,0117484238,"https://www.google.com/maps?q=29.985285876763754,31.493255151545178",DIST-23-441
صيدلية صيدلية المدينة - المركز الرئيسي,الأقصر,المركز الرئيسي,الحي 2,شارع 20، خلف المسجد، الحي 2,0155817775,"https://www.google.com/maps?q=29.49446745246018,31.383120803127007",DIST-20-849
صيدلية د. علي علي,الشرقية,العاشر من رمضان,الحي 4,شارع 76، خلف المسجد، الحي 4,0154986934,"https://www.google.com/maps?q=29.775453523455884,30.254880929550254",DIST-05-425
صيدلية سيف - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 4,شارع 98، خلف البنك، الحي 4,0107206037,"https://www.google.com/maps?q=29.46491957820764,30.849105912080784",DIST-21-557
صيدلية د. حسين حسن,بني سويف,المركز الرئيسي,الحي 4,شارع 10، خلف المدرسة، الحي 4,0109091011,"https://www.google.com/maps?q=29.42870507048822,31.603607738363426",DIST-15-921
صيدلية د. إبراهيم أحمد,الإسكندرية,سيدي جابر,الحي 8,شارع 96، خلف المسجد، الحي 8,0124479408,"https://www.google.com/maps?q=30.682281836617854,31.656993662455623",DIST-02-477
صيدلية علي وعلي - المركز الرئيسي,قنا,المركز الرئيسي,الحي 9,شارع 2، خلف المسجد، الحي 9,0109613634,"https://www.google.com/maps?q=30.418482751165346,30.135246924371444",DIST-19-226
صيدلية العزبي - المركز الرئيسي,قنا,المركز الرئيسي,الحي 10,شارع 95، خلف المدرسة، الحي 10,0152951106,"https://www.google.com/maps?q=30.81603256852634,31.10229929919449",DIST-19-775
صيدلية د. حسن سيد,الأقصر,المركز الرئيسي,الحي 9,شارع 83، خلف المسجد، الحي 9,0117423537,"https://www.google.com/maps?q=29.742831187578762,31.523158236653526",DIST-20-841
صيدلية سيف - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 1,شارع 69، خلف المسجد، الحي 1,0108975447,"https://www.google.com/maps?q=29.094419002396137,31.74098094192625",DIST-18-812
صيدلية مصر - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 6,شارع 19، خلف المسجد، الحي 6,0129469045,"https://www.google.com/maps?q=30.894834424046685,30.176509173132622",DIST-06-635
صيدلية د. علي حسين,السويس,المركز الرئيسي,الحي 10,شارع 84، خلف البنك، الحي 10,0151126271,"https://www.google.com/maps?q=30.588323528440306,30.001169400922755",DIST-13-610
صيدلية د. علي أحمد,القليوبية,المركز الرئيسي,الحي 9,شارع 12، خلف البنك، الحي 9,0129139699,"https://www.google.com/maps?q=29.17476732577881,30.983337344690423",DIST-03-995
صيدلية د. محمود محمود,مطروح,المركز الرئيسي,الحي 4,شارع 7، خلف المسجد، الحي 4,0105852251,"https://www.google.com/maps?q=30.38574283706526,31.912166588764673",DIST-24-179
صيدلية العزبي - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 9,شارع 30، خلف المسجد، الحي 9,0127635204,"https://www.google.com/maps?q=29.238063668268857,30.608732588178754",DIST-10-916
صيدلية 19011 - المركز الرئيسي,الوادي الجديد,المركز الرئيسي,الحي 6,شارع 52، خلف البنك، الحي 6,0156007539,"https://www.google.com/maps?q=30.57150770901949,31.630185169585765",DIST-23-321
صيدلية د. حسين سيد,قنا,المركز الرئيسي,الحي 1,شارع 57، خلف المسجد، الحي 1,0128295284,"https://www.google.com/maps?q=30.29730306689186,31.665188334546208",DIST-19-766
صيدلية خليل - فيصل,الجيزة,فيصل,الحي 2,شارع 82، خلف البنك، الحي 2,0112696371,"https://www.google.com/maps?q=29.726348392204535,31.351109452505668",DIST-01-626
صيدلية د. إبراهيم حسين,الأقصر,المركز الرئيسي,الحي 1,شارع 43، خلف المدرسة، الحي 1,0155908076,"https://www.google.com/maps?q=29.13456502720386,30.219406738957513",DIST-20-367
صيدلية خليل - الدقي,الجيزة,الدقي,الحي 4,شارع 62، خلف المدرسة، الحي 4,0102112317,"https://www.google.com/maps?q=29.04792553064508,30.906358377038348",DIST-01-450
صيدلية العزبي - طلخا,الدقهلية,طلخا,الحي 9,شارع 81، خلف المسجد، الحي 9,0159217066,"https://www.google.com/maps?q=29.80507695694824,31.235982031799253",DIST-04-487
صيدلية رشدي - المركز الرئيسي,الأقصر,المركز الرئيسي,الحي 4,شارع 20، خلف البنك، الحي 4,0101812600,"https://www.google.com/maps?q=29.65677814854764,31.765765622335252",DIST-20-918
صيدلية د. سيد إبراهيم,أسوان,المركز الرئيسي,الحي 9,شارع 12، خلف المدرسة، الحي 9,0108581891,"https://www.google.com/maps?q=29.718322565511247,30.13177063233099",DIST-21-387
صيدلية د. أحمد حسن,مطروح,المركز الرئيسي,الحي 3,شارع 86، خلف البنك، الحي 3,0125586251,"https://www.google.com/maps?q=29.394928943319798,30.2970285974217",DIST-24-379
صيدلية د. علي علي,أسوان,المركز الرئيسي,الحي 8,شارع 3، خلف المدرسة، الحي 8,0112129381,"https://www.google.com/maps?q=29.308570500244148,30.639448366880277",DIST-21-825
صيدلية سيف - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 8,شارع 8، خلف المدرسة، الحي 8,0117529287,"https://www.google.com/maps?q=30.706183436596604,31.2142826215372",DIST-06-761
صيدلية مصر - المركز الرئيسي,الأقصر,المركز الرئيسي,الحي 8,شارع 75، خلف المسجد، الحي 8,0157420816,"https://www.google.com/maps?q=29.94195703665652,30.303975909365967",DIST-20-123
صيدلية صيدلية المدينة - المركز الرئيسي,الوادي الجديد,المركز الرئيسي,الحي 8,شارع 81، خلف البنك، الحي 8,0121664023,"https://www.google.com/maps?q=29.63317346897545,30.410561172306938",DIST-23-338
صيدلية علي وعلي - بلبيس,الشرقية,بلبيس,الحي 10,شارع 69، خلف البنك، الحي 10,0117845410,"https://www.google.com/maps?q=30.56908725100239,30.081306940303477",DIST-05-789
صيدلية العزبي - المركز الرئيسي,البحيرة,المركز الرئيسي,الحي 1,شارع 15، خلف المدرسة، الحي 1,0105222536,"https://www.google.com/maps?q=29.409795942557164,30.954730198922707",DIST-08-968
صيدلية د. علي إبراهيم,الشرقية,بلبيس,الحي 3,شارع 8، خلف المدرسة، الحي 3,0153064581,"https://www.google.com/maps?q=30.0089924974728,31.477638337560165",DIST-05-902
صيدلية 19011 - المركز الرئيسي,السويس,المركز الرئيسي,الحي 7,شارع 45، خلف البنك، الحي 7,0124789079,"https://www.google.com/maps?q=29.452309676258107,31.3338298633282",DIST-13-546
صيدلية د. حسين سيد,الجيزة,الهرم,الحي 1,شارع 79، خلف البنك، الحي 1,0103030274,"https://www.google.com/maps?q=29.960191565043065,30.736455909957076",DIST-01-639
صيدلية سيف - المركز الرئيسي,كفر الشيخ,المركز الرئيسي,الحي 7,شارع 89، خلف المدرسة، الحي 7,0107326561,"https://www.google.com/maps?q=30.050468507438538,30.64527425107466",DIST-09-343
صيدلية مصر - المركز الرئيسي,شمال سيناء,المركز الرئيسي,الحي 2,شارع 19، خلف المدرسة، الحي 2,0108492470,"https://www.google.com/maps?q=30.265747867591667,31.128918657853703",DIST-25-344
صيدلية د. إبراهيم علي,الإسماعيلية,المركز الرئيسي,الحي 3,شارع 59، خلف المدرسة، الحي 3,0123274727,"https://www.google.com/maps?q=29.666914599150743,31.974724141751057",DIST-12-925
صيدلية د. محمد محمد,الفيوم,المركز الرئيسي,الحي 10,شارع 35، خلف المدرسة، الحي 10,0159215907,"https://www.google.com/maps?q=29.241657385987416,30.042271090131617",DIST-14-956
صيدلية سيف - المركز الرئيسي,قنا,المركز الرئيسي,الحي 6,شارع 4، خلف البنك، الحي 6,0103482870,"https://www.google.com/maps?q=30.303564769816646,30.012147138658452",DIST-19-227
